,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,season,PPG
219,181,R.J. Hampton,PG,21,ORL,26,361,12.7,0.572,0.465,0.325,2.8,9.4,6.1,13.7,2.2,1.1,13.9,18.1,,0.2,0.4,0.6,0.078,,-1.5,0.3,-1.2,0.1,hamptrj01,2223,6.0
220,181,R.J. Hampton,PG,21,DET,2,28,1.7,0.167,0.5,0.0,0.0,20.4,9.9,4.5,3.4,3.1,14.3,10.6,,-0.1,0.0,-0.1,-0.114,,-9.8,2.1,-7.7,0.0,hamptrj01,2223,6.0
221,182,Tim Hardaway Jr.,SG,30,DAL,57,1720,11.4,0.53,0.65,0.195,1.3,13.1,7.1,8.6,1.2,0.4,6.0,21.1,,0.2,1.1,1.3,0.037,,-0.8,-1.6,-2.4,-0.2,hardati02,2223,14.2
222,183,James Harden,PG,33,PHI,44,1614,22.5,0.62,0.502,0.448,1.8,17.8,9.9,44.7,1.7,1.5,16.5,25.3,,4.7,2.1,6.8,0.202,,5.4,0.7,6.1,3.3,hardeja01,2223,21.9
223,184,Jaden Hardy,SG,20,DAL,32,371,12.0,0.557,0.448,0.294,0.6,13.3,6.8,11.2,1.2,0.7,12.4,25.7,,-0.1,0.3,0.1,0.019,,-3.3,-2.1,-5.4,-0.3,hardyja02,2223,6.5
224,185,Ron Harper Jr.,SF,22,TOR,4,14,23.7,0.714,0.571,0.0,7.5,8.7,8.1,0.0,0.0,0.0,0.0,21.3,,0.1,0.0,0.1,0.189,,10.1,-1.3,8.8,0.0,harpero02,2223,2.5
225,186,Montrezl Harrell,C,29,PHI,50,624,17.3,0.636,0.011,0.459,11.4,14.5,13.0,7.6,1.3,3.7,12.2,18.1,,1.2,0.8,2.0,0.157,,-1.1,-0.1,-1.3,0.1,harremo01,2223,5.5
226,187,Gary Harris,SG,28,ORL,33,817,11.0,0.642,0.668,0.135,2.2,7.5,4.9,6.9,1.8,0.6,9.1,12.8,,1.1,0.7,1.7,0.102,,-1.1,0.5,-0.6,0.3,harriga01,2223,8.5
227,188,Joe Harris,SG,31,BRK,54,1251,10.0,0.605,0.715,0.068,1.8,10.1,6.1,8.9,1.1,0.9,8.7,14.3,,1.0,0.8,1.8,0.07,,-1.2,-0.8,-1.9,0.0,harrijo01,2223,7.9
228,189,Kevon Harris,SG,25,ORL,27,336,8.9,0.546,0.364,0.351,7.8,10.1,9.0,4.9,1.9,0.9,15.3,13.5,,0.1,0.3,0.4,0.058,,-3.5,-0.1,-3.6,-0.1,harrike01,2223,3.6
